authors,number_of_coauthors,,,,,
Xiaogang Wang,306,,,,,
Luc Van Gool,276,,,,,
Wei Liu,273,,,,,
Ming-Hsuan Yang,263,,,,,
Chunhua Shen,233,,,,,
Raquel Urtasun,229,,,,,
Yi Yang,218,,,,,
Zhe Lin,207,,,,,
Lei Zhang,205,,,,,
Lawrence Carin,204,,,,,
Wanli Ouyang,204,,,,,
Trevor Darrell,198,,,,,
Michael I. Jordan,189,,,,,
Dacheng Tao,186,,,,,
Shuicheng Yan,186,,,,,
Jiashi Feng,185,,,,,
Masashi Sugiyama,184,,,,,
Xiaodan Liang,183,,,,,
Marc Pollefeys,182,,,,,
Le Song,181,,,,,
Jiaya Jia,179,,,,,
Yoshua Bengio,174,,,,,
Andreas Krause,173,,,,,
Shiguang Shan,168,,,,,
Tong Zhang,168,,,,,
Xiaohui Shen,166,,,,,
Liang Lin,162,,,,,
Bernt Schiele,161,,,,,
Jie Zhou,160,,,,,
